# OBJECT NAME          RA        Dec      Epoch   Preferred   Guiding  Guider
#                   HH MM SS   DD MM SS           Pier Side   Star?    Position
#                                                             1-yes    [cm]
NGC7380             22 45 30   57 55 00   1960    E           1        4.3








PSN0413+2528        04 13 38  25 28 46  2000
PS15blq             17 31 42  43 53 34  2000
R1_Lovejoy          16 35 00  30 45 00  2013.95
Std98               06 52 12  -00 -18 00  2000
EI_Cep              21 28 28  76 24 13  2000
TY_UMi              15 17 57  83 51 34  2000
TX_Her              17 18 36  41 53 17  2000
UU_Cas              23 50 40  60 54 39  2000
V454_Aur            06 22 03  34 35 50  2000
V455_Aur            06 28 54  52 07 33  2000
V722_Mon            06 28 20  -00 -43 -46 2000
V572_Per            03 15 49  50 57 21  2000
V743_Cep            22 18 06  55 54 15  2000
V821_Cas            23 58 49  53 40 19  2000
V1125_Tau           03 38 59  00 47 48  2000
V2154_Cyg           21 23 08  48 31 08  2000
V2080_Cyg           19 26 48  50 08 44  2000
FK_Dra              12 30 12  63 53 21  2000
WZ_Oph              17 06 39  07 46 58  2000
XX_Oph              17 43 57  -06 16 09  2000
%Puste pola:
Blank1              04 29 45  54 15 36  2000
wfsblank2           08 01 00  50 00 00  2000
CAblank2            09 13 49  46 13 58  2000
Blank2              13 06 56  29 34 48  2000
CAblank3            13 36 18  62 14 11  2000
wfcblank1           15 02 00  29 55 00  2000
CAblank5            16 24 33  55 44 00  2000
wfsblank1           17 00 00  41 00 00  2000
Blank4              19 21 29  12 27 49  2000
CAblank7            23 15 48  11 26 32  2000
GD246               23 12 22  10 47 04  2000
Polaris             02 31 49  89 15 51  2000
%
% GALEXy ToDo...
%
GALEXJ0035     00 35 32  24 59 17  2000
GALEXJ0036     00 36 40  37 55 54  2000
GALEXJ0115     01 15 54  26 14 01  2000
GALEXJ0119     01 19 29  49 01 10  2000
GALEXJ0154     01 54 22  49 05 22  2000
GALEXJ0204     02 04 47  27 29 04  2000
GALEXJ0216     02 16 19  27 59 01  2000
GALEXJ0232     02 32 52  44 11 25  2000
GALEXJ0321         03 21 40  47 27 19  2000
GALEXJ0555     05 55 42  64 08 11  2000
GALEXJ0613     06 13 25  34 20 53  2000
GALEXJ0639     06 39 52  51 56 58  2000
GALEXJ0701     07 01 23  53 29 39  2000
GALEXJ0703     07 03 32  62 36 27  2000
GALEXJ0710+56     07 10 54  56 24 47  2000
GALEXJ0710+23     07 10 30  23 33 22  2000
GALEXJ0716     07 16 18  75 02 42  2000
GALEXJ0735     07 35 27  61 32 45  2000
GALEXJ0738     07 38 05  26 24 44  2000
GALEXJ0741     07 41 49  55 24 51  2000
GALEXJ0742     07 42 49  63 53 23  2000
GALEXJ0748     07 48 56  30 42 50  2000
GALEXJ0756     07 56 04  22 26 29  2000
GALEXJ0807         08 06 57  15 27 00  2000
GALEXJ0809     08 09 30  05 48 44  2000
GALEXJ0825     08 25 57  13 07 55  2000
GALEXJ0845     08 45 36  19 41 50  2000
GALEXJ0851     08 51 38  24 41 52  2000
GALEXJ0924     09 24 40  30 50 13  2000
GALEXJ1017     10 17 57  55 16 33  2000
GALEXJ1023     10 23 59  69 11 46  2000
GALEXJ1027     10 27 29  74 59 47  2000
GALEXJ1041     10 41 23  50 44 20  2000
GALEXJ1136     11 36 34  75 06 52  2000
GALEXJ1206     12 06 25  57 09 36  2000
GALEXJ1358     13 58 25  06 51 38  2000
GALEXJ1409     14 09 57  80 55 20  2000
GALEXJ1503     15 03 47  42 21 25  2000
GALEXJ1513     15 13 26  64 54 07  2000
GALEXJ1525     15 25 13  60 53 22  2000
GALEXJ1526     15 26 53  79 41 31  2000
GALEXJ1545     15 45 10  59 55 05  2000
GALEXJ1624     16 24 32  40 59 13  2000
GALEXJ1627     16 27 17  40 27 29  2000
GALEXJ1628     16 28 23  27 29 20  2000
GALEXJ1632     16 32 14  85 13 59  2000
GALEXJ1637     16 37 05  41 15 41  2000
GALEXJ1650     16 50 55  35 33 42  2000
GALEXJ1651     16 51 57  26 25 52  2000
GALEXJ1702     17 02 12  48 30 25  2000
GALEXJ1717         17 17 09  67 57 12  2000
GALEXJ1727     17 27 05  29 42 29  2000
GALEXJ1738     17 38 13  26 34 09  2000
GALEXJ1745     17 45 31  29 49 04  2000
GALEXJ1751     17 51 38  37 19 53  2000
GALEXJ1753     17 53 25  69 10 58  2000
GALEXJ1755     17 55 49  50 12 11  2000
GALEXJ1911     19 11 07  87 16 05  2000
GALEXJ2123     21 23 28  83 33 51  2000
GALEXJ2245     22 45 04  32 21 51  2000
GALEXJ2303     23 03 15  39 25 45  2000
GALEXJ2329     23 29 18  32 53 49  2000
GALEXJ2331     23 31 59  28 15 23  2000
GALEXJ2349     23 49 48  38 44 40  2000
Garradd             18 28 06  19 45 00  2000
GSC_4232            20 01 28  61 10 18  2000
GSC4556             12 03 17  80 33 42  2000
Hartley             23 54 30  51 29 56  2000
Hoenig              13 03 45  54 52 00  2000
hPer                 2 19 24  57 10 26  2005.7
HD50526              6 54  2   6 48 48  2000
HS2231              22 34 21  24 56 59  2000
IC10                 0 20 23  59 17 35  2000
IC1101              15 10 56  05 44 42  2000
IC334               03 45 18  76 38 16  2000
IC348                3 44 34  32 09 48  2000
IC434               05 41 00  -2 -30 0  2000
IC1396              21 34 53  57 30 10  2000
IC1590               0 52 49  56 37 42  2000
IC1805              02 33 42  61 27 00  2000
IC1871              03 03 00  60 24 00  2000
IC2461              09 19 58  37 11 28  2000
IC4582              15 45 40  28 05 18  2000
IC4996              20 16 30  37 38 00  2000
IC5146              21 53 32  47 16 06  2000
JQH                 20 15 21  38 02 44  2000 
Jupiter              2 20 56  12 44 55  2011
K4                  18 46 24  44 07 54  2000
KIC1573174          19 25 29  37 09 24  2000
KIC2857323          19 29 49  38 01 22  2000
KIC3868420          19 43 26  38 55 13  2000
KIC4917786          19 19 57  40 02 38  2000
KIC5950759          19 15 00  41 13 55  2000
KIC6382916          19 48 03  41 46 56  2000
KIC6721089          19 55 26  42 08 46  2000
KIC6861400          19 25 15  42 19 17  2000
KIC7295372          19 42 25  42 48 23  2000
KIC8410637          18 48 38  44 29 09  2000
KIC8647299          19 55 22  44 42 11  2000
KIC9408694          19 34 45  45 54 16  2000
KIC9700322          19 07 51  46 29 12  2000
KIC9832227          19 29 16  46 37 20  2000
KIC10030943         19 54 13  46 56 13  2000
KIC10130954         19 10 24  47 09 44  2000
KIC11754974         19 08 16  49 57 15  2000
KIC8462852          20 06 16  44 27 25  2000
KIC10661783         19 21 12  47 58 43  2000
King10              22 54 54  59 10 00  2000
KPPer                3 32 39  44 51 21  2000
Landolt17           02 33 33  05 19 28  2000
LBN549              23 20 00  61 12 00  2000
LdtS                 9 21 28   2 46 03  2000
LIN-A2              22 54 21  10 44 06  2000
Lovejoy             18 38 20  26 00 18  2000
Lulin                6 45 48  22 16 00  2000
Berkeley7           01 54 12  62 22 00  2000
Berkeley59          00 00 14  67 25 00  2000
Berkeley87          20 21 42  37 22 00  2000
M1                   5 31 30  21 59  0  1950
M2                  21 33 30  0 -50  0  2000
M3                  13 42 12  28 23 00  2000
M5                  15 18 36  02 05 00  2000
M13                 16 41 42  36 28 00  2000
M14                 17 37 36  -3 14 45  2000
M15                 21 27 36  11 57 00  1950
M16                 18 18 48 -13 49 00  2000
M27                 19 59 30  22 43 00  2000
M31                  0 42 44  41 16 09  2000
M32                  0 42 42  40 51 57  2000
M33                  1 33 54  30 39 00  2000
M34                  2 42  0  42 47  0  2000
M35                  6  9 14  24 17 52  2000
M36                  5 36  6  34  8  0  2000
M37                  5 52 18  32 32  0  2000 
M38                  5 28 42  35 50  0  2000
M39                 21 32 12  48 26 00  2000
M42                  5 35 17  -5 23 23  2000
M45                  3 47 00  24 07 01  2000
M51                 13 29 52  47 11 43  2000
M52                 23 22  0  61 19  0  2000 
M53                 13 13 00  18 10 00  2000
M56                 19 16 36  30 11 00  2000
M57                 18 53 36  33 02 00  2000
M61                 12 21 58   4 28 18  2000
M63                 13 15 48  42 02 00  2000
M64                 12 56 55  21 40 02  2003
M65                 11 18 57  13 03 49  2000
M71                 19 53 42  18 47 00  2000 
M74                 01 36 42  15 47 00  2000
M76                  1 43 03  51 37 33  2011
M78                  5 46 42   0 03 00  2000
M77                  2 42 41   0 00 48  2000
M81                  9 55 33  69 03 55  2000
M82                  9 56 18  69 39 32  2005.6
M85                 12 25 24  18 11 27  2000
M92                 17 17 00  43 08 00  2000
M95                 10 43 58  11 42 13  2000 
M97                 11 14 48  55 01 00  2000
M99                 12 18 50  14 25 00  2000
M100                12 22 55  15 49 22  2000
M101                14 03 12  54 21 00  2000
M103                 1 33 23  60 39 00  2000
M105                10 47 50  12 34 54  2000
M106                12 18 58  47 18 13  2000
M109                11 57 36  53 23 00  2000
MAS0349+7142        03 48 51  71 42 02  2000
MAS1204+2659        12 04 52  26 59 47  2000
NEAT_Q4              9 48 55  47 31 00  2000
NGC6951             20 37 14  66 06 20  2000
NGC188               0 52 38  85 10 35  2000
NGC205              00 40 24  41 41  0  2000
NGC225               0 43 39  61 46 30  2000
NGC281              00 52 25  56 33 54  2000 
NGC366              01 06 30  62 13 00  2000
NGC436               1 15 58  58 48 42  2000
NGC581               1 33 23  60 39 00  2000
NGC637               1 43 04  64 02 24  2000
NGC457              01 19 40  58 17 18  2000
